date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:25:56	73222/73222	---M-Z	200	added ('OK')	text/html	etag:%2211e06-5ebfde8d96dbb-gzip%22	https://www.qmul.ac.uk/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web24/Site24/www.qmul.ac.uk/index.html	(from )
18:25:56	360/360	---M-Z	200	added ('OK')	text/plain	etag:%2233c-5eb8b1d59b440-gzip%22	https://www.qmul.ac.uk/robots.txt		(from )
18:25:57	582729/582729	---MCZ	200	added ('OK')	text/css	etag:%228e449-5b866f51b4a59-gzip%22	https://www.qmul.ac.uk/media/ow-assets/assets/css/lib.min.1.3.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web24/Site24/www.qmul.ac.uk/media/ow-assets/assets/css/lib.min.1.3.css	(from https://www.qmul.ac.uk/)
18:25:57	14326/14326	---M-Z	200	added ('OK')	text/css	etag:%2237f6-5b3316633bf1d-gzip%22	https://www.qmul.ac.uk/media/ow-assets/assets/css/vendors~lib.min.1.2.4.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web24/Site24/www.qmul.ac.uk/media/ow-assets/assets/css/vendors_lib.min.1.2.4.css	(from https://www.qmul.ac.uk/)
18:25:58	22952/22952	---M-Z	200	added ('OK')	text/css	etag:%2259a8-5ead7b101d757-gzip%22	https://www.qmul.ac.uk/media/ow-assets/assets/css/qm-custom.1.3.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web24/Site24/www.qmul.ac.uk/media/ow-assets/assets/css/qm-custom.1.3.css	(from https://www.qmul.ac.uk/)
18:25:58	2122/2122	---M-Z	200	added ('OK')	text/css	etag:%2284a-5e39794601fe2-gzip%22	https://www.qmul.ac.uk/media/ow-assets/assets/css/t4extra.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web24/Site24/www.qmul.ac.uk/media/ow-assets/assets/css/t4extra.css	(from https://www.qmul.ac.uk/)
18:25:59	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2027%20Oct%202022%2012:56:49%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web24/Site24/www.googletagmanager.com/gtm.55445.delayed	(from https://www.qmul.ac.uk/)
18:26:00	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web24/Site24/www.google-analytics.com/analytics.js	(from https://www.qmul.ac.uk/)
18:26:00	7618/7618	---M-Z	200	added ('OK')	image/svg+xml	etag:%221dc2-5b371ff54119e-gzip%22	https://www.qmul.ac.uk/media/ow-assets/assets/icons/sprite.1.2.3.svg	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web24/Site24/www.qmul.ac.uk/media/ow-assets/assets/icons/sprite.1.2.3.svg	(from https://www.qmul.ac.uk/)
18:26:00	8302/8302	---M-Z	200	added ('OK')	image/svg+xml	etag:%22206e-5b19638eebdae-gzip%22	https://www.qmul.ac.uk/media/ow-assets/assets/icons/qm-logo-white.svg	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day5/Web24/Site24/www.qmul.ac.uk/media/ow-assets/assets/icons/qm-logo-white.svg	(from https://www.qmul.ac.uk/)
